cd_cvm;cnpj;empresa;ano;roe;roa;endividamento;liquidez_corrente;margem_operacional;caixa;crescimento_receita;crescimento_ativos;receita;ativo_total;lucro_liquido;patrimonio_liquido
026190;00.080.671/0001-00;CARAMURU ALIMENTOS S.A.;2022;19.1824267796;4.03292402835;78.9759446254;1.34908058058;5.25297065651;2668412000;13.6207957298;32.017633652;8626376000;8647423000;348744000;1818039000
026190;00.080.671/0001-00;CARAMURU ALIMENTOS S.A.;2023;11.9424409567;3.82028416924;68.010859898;1.59548890397;4.0814522929;1088465000;-11.9848474029;-27.3944156542;7592518000;6278512000;239857000;2008442000
026190;00.080.671/0001-00;CARAMURU ALIMENTOS S.A.;2024;12.1623814443;3.76786622604;69.0203251453;1.6198048063;9.59398878342;2536096000;-4.21090868668;15.0106426491;7272804000;7220957000;272076000;2237029000
026190;00.080.671/0001-00;CARAMURU ALIMENTOS S.A.;2025;20.7645122659;8.07525505783;61.1103070739;1.79785467531;6.65073363883;2017378000;12.1699003576;-2.11138218937;8157897000;7068495000;570799000;2748916000
014613;00.192.769/0001-59;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2020;12.1757833148;-31.7128750475;360.458602355;4.15789473684;972.54509018;32000;;;499000;21064000;-6680000;-54863000
014613;00.192.769/0001-59;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2021;16.1757066463;-47.2001783326;391.796700847;18.25;127.803738318;4000;-14.2284569138;6.48499810103;428000;22430000;-10587000;-65450000
014613;00.192.769/0001-59;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2022;6.92948298894;-21.2582290622;406.779439334;2.59090909091;-128.174603175;12000;17.7570093458;2.26036558181;504000;22937000;-4876000;-70366000
014613;00.192.769/0001-59;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2023;1.44127740038;-5.26665984236;465.416112192;0.0159558146671;-735.361842105;1000;20.6349206349;-14.8188516371;608000;19538000;-1029000;-71395000
026174;00.194.724/0001-13;AUREN OPERAÇÕES S.A.;2020;-1.9034354689;-1.9034354689;0;;;40000;;;0;2154000;-41000;2154000
026174;00.194.724/0001-13;AUREN OPERAÇÕES S.A.;2021;11.195507162;4.3888810007;60.7978366931;1.97056347257;17.0084475102;1651053000;;546262.534819;2511746000;11768649000;516512000;4613565000
026174;00.194.724/0001-13;AUREN OPERAÇÕES S.A.;2022;7.65660685931;2.61419344866;65.857023918;2.09096354969;24.522536864;36114000;10.7427263744;-3.24819781778;2781576000;11386380000;297662000;3887649000
026174;00.194.724/0001-13;AUREN OPERAÇÕES S.A.;2023;8.49054613813;3.04156997414;64.1769807896;1.35544696868;30.6854507185;227692000;8.5284745051;-3.53272945396;3018802000;10984130000;334090000;3934847000
026174;00.194.724/0001-13;AUREN OPERAÇÕES S.A.;2024;0.769285415682;0.254146799271;66.9632630373;0.786615148082;14.0251598666;1178754000;13.9025348466;0.856808868795;3438492000;11078243000;28155000;3659890000
026174;00.194.724/0001-13;AUREN OPERAÇÕES S.A.;2025;2.127661839;0.95859805478;54.9459393778;0.718380176485;17.1428363654;810873000;3.97874998691;-5.87859464718;3575301000;10426998000;99953000;4697786000
026069;00.242.184/0001-04;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2020;20.6125088173;4.07717636991;80.2198926582;1.36060774711;35.7791075889;84767000;;;111294000;430028000;17533000;85060000
026069;00.242.184/0001-04;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2021;5.21831190342;1.76944171956;66.091683435;6.09206423624;33.2109484444;0;250.202167233;663.086822253;389754000;3281487000;58064000;1112697000
